Timestamp,Value
1427965074,181
1427965379,1620
1427965409,621
1427966309,591
1428116992,0
1428121695,768
1428282110,675
1428293996,308
1428297153,516
1428298221,525
1428301033,693
1428310101,684
1428310781,10
1428310981,773
1428314220,382
1428316176,666
1428317181,321
1428368557,24
1428375985,689
1428379560,704
1428380958,668
1428381635,636
1428384939,550
1428398174,658
1428399024,213
1428403395,443
1428410042,463
1428462549,202
1428466337,469
1428466867,650
1428467453,651
1428467457,898
1428468506,703
1428470471,582
1428483263,363
1428484082,675
1428485293,639
1428487719,597
1428489236,693
1428549249,667
1428549466,691
1428551795,633
1428552532,421
1428555498,614
1428565902,416
1428566863,645
1428570024,547
1428571312,672
1428572381,145
1428576144,676
1428638842,519
1428639340,368
1428641587,1292
1428642425,763
1428653227,797
1428661035,683
1428661230,569
1428857652,1688
1428886897,692
1428896535,584
1428901669,551
1428901911,547
1428909323,665
1428916050,474
1428920522,677
1428923653,254
1428973392,674
1428980892,679
1428987231,348
1429004967,675
1429007300,654
1429059016,654
1429069553,566
1429074769,492
1429074935,349
1429079292,140
1429083319,771
1429084005,432
1429090275,685
1429091869,227
1429093369,363
1429095870,448
1429146313,634
1429153140,691
1429157350,426
1429160578,374
1429164134,581
1429172788,666
1429175354,332
1429175532,86
1429179445,708
1429180579,412
1429232519,654
1429240279,665
1429241782,516
1429243321,227
1429246676,542
1429251223,468
1429256240,648
1429258847,1960
1429263944,547
1429265558,657
1429322136,682
1429491670,680
1429495740,170
1429500007,691
1429503725,530
1429505619,687
1429505783,294
1429508335,313
1429512352,614
1429521390,652
1429522152,730
1429522408,499
1429533052,690
1429578239,658
1429581537,363
1429586023,690
1429588906,658
1429603121,162
1429603458,788
1429605757,676
1429607887,686
1429608503,655
1429611236,639
1429624131,660
1429664366,682
1429671852,682
1429673783,379
1429675325,635
1429676213,1719
1429679302,587
1429686341,166
1429691052,193
1429691091,302
1429691754,401
1429692497,694
1429695304,673
1429698839,691
1429750791,674
1429757568,673
1429758618,698
1429764068,344
1429764570,823
1429765139,681
1429765942,703
1429769022,625
1429779089,724
1429781473,433
1429782066,365
1429786022,684
1429837041,10
1429844805,685
1429846239,649
1429848024,1798
1429850988,670
1429854972,552
1429855448,640
1429856272,140
1429857013,486
1429863076,480
1429865434,1605
1429868295,626
1429868579,380
1429884707,961
1429926962,668
1429939949,186
1430022417,475
1430042627,883
1430096469,680
1430103888,692
1430105239,583
1430108389,623
1430109113,352
1430110255,531
1430110418,685
1430118474,570
1430122972,611
1430123829,501
1430124633,339
1430126710,694
1430128088,548
1430182552,660
1430188383,832
1430190397,691
1430193849,659
1430195331,620
1430195570,584
1430196419,359
1430201955,699
1430202904,446
1430207421,542
1430209517,557
1430209923,679
1430211892,536
1430212762,537
1430214801,663
1430221518,46
1430269167,672
1430274175,623
1430275111,555
1430275956,634
1430281217,352
1430283198,678
1430283846,672
1430284603,1803
1430286170,419
1430287330,508
1430294871,681
1430296964,401
1430298620,71
1430298657,658
1430301840,242
1430355693,685
1430360971,660
1430362099,677
1430370252,692
1430370889,665
1430370990,494
1430371870,1426
1430373625,591
1430381488,657
1430384633,666
1430385440,649
1430389403,1136
1430392440,562
1430441886,669
1430448717,608
1430467255,350
1430474823,361
1430475257,200
1430475780,691
1430479581,507
1430480759,703
1430491919,1552
1430702628,679
1430706493,568
1430708379,551
1430711649,1104
1430715260,827
1430717273,459
1430718331,684
1430726571,507
1430727493,654
1430729314,396
1430731858,544
1430731974,139
1430734389,390
1430735812,760
1430739288,487
1430744552,269
1430787819,673
1430792755,585
1430795809,558
1430800929,526
1430801318,1392
1430805017,583
1430807062,641
1430807647,374
1430809843,696
1430810229,708
1430810631,724
1430819252,643
1430822710,618
1430825954,451
1430873875,670
1430879577,622
1430880450,658
1430882808,0
1430883432,66
1430884863,533
1430887109,693
1430888088,1423
1430888644,671
1430892167,596
1430897806,666
1430898224,739
1430903592,378
1430905439,549
1430905561,581
1430908252,706
1430910027,0
1430960764,669
1430965767,668
1430966048,576
1430966984,668
1430970885,693
1430974777,1121
1430975324,630
1430983586,701
1430983600,701
1430986113,92
1430990367,1100
1430991127,693
1430992060,629
1430993584,384
1430993730,758
1430994438,354
1430995445,681
1431000179,238
1431047232,669
1431052065,572
1431053653,652
1431053694,659
1431057555,1504
1431058070,556
1431059211,152
1431060523,665
1431061701,630
1431064269,250
1431071160,549
1431072093,686
1431074170,469
1431074321,728
1431074398,692
1431075737,1612
1431075825,817
1431075838,133
1431076072,773
1431076093,359
1431077815,152
1431079572,577
1431080803,656
1431082099,663
1431136957,512
1431143981,548
1431147850,527
1431212308,1186
1431305998,670
1431313381,629
1431314024,660
1431315624,486
1431315696,653
1431317127,409
1431320627,556
1431321285,675
1431327834,349
1431329450,663
1431329996,653
1431330317,678
1431334328,496
1431335878,246
1431338093,696
1431339089,347
1431339937,142
1431344301,373
1431392426,670
1431397691,600
1431402975,364
1431405477,760
1431405546,551
1431408622,746
1431409183,678
1431410415,403
1431418338,1418
1431420118,666
1431424256,694
1431425216,614
1431429726,495
1431479173,680
1431484153,597
1431485146,662
1431485228,631
1431486228,613
1431489906,341
1431490728,370
1431493320,1176
1431493714,700
1431493815,484
1431494615,1394
1431502996,434
1431503018,654
1431503126,280
1431506048,2055
1431506576,698
1431508452,665
1431510217,567
1431511365,673
1431513923,21
1431514481,545
1431516659,626
1431565322,656
1431570375,596
1431572013,744
1431577304,362
1431577368,689
1431577938,1238
